source,2010-01-01T00:00:00Z,2010-03-01T00:00:00Z,2010-05-01T00:00:00Z,2010-07-01T00:00:00Z,2010-09-01T00:00:00Z,2010-10-01T00:00:00Z,2010-11-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-03-01T00:00:00Z,2011-04-01T00:00:00Z,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z,2011-09-01T00:00:00Z,2011-10-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-04-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
Biosensor,2.0,,,,,,,2.0,1.0,,,,,,,5.0,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,1.0,1.0,4.0,,,,,1.0,,,,,,,3.0,,,,,,2.0,,1.0,,,5.0,,,,,,,,,,,4.0,,1.0,1.0,1.0,,,1.0,,,,,3.0,,,,,1.0,,,1.0,,,,3.0,,,,,,,,1.0,,,3.0
Brain-computer interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZTS solar cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Cancer biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
Capsule endoscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Carbon dioxide removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon nanotube,2.0,,,,,,,4.0,,,,1.0,,,,2.0,,,,,,,,,6.0,2.0,,,,,,,,4.0,,,,,1.0,,,,1.0,,,,,,,,,,,,5.0,,,,,,1.0,,,,,4.0,,,1.0,,,1.0,,,,,6.0,,,,,1.0,,,,,,,4.0,,,,,,,,,,1.0,,3.0,,,,,,,,,1.0,,3.0
Carbon nanotube field-effect transistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon sequestration,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,1.0,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0
Coal liquefaction,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductive polymer,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cultured meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,2.0
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,5.0
Distributed ledger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Dye-sensitized solar cell,2.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
E-textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0
Electric vehicle,3.0,,,,,,,5.0,,,,,,,,6.0,,,,,,,,,12.0,,,,,,,,,10.0,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,1.0,5.0,,,,,,,,,,,8.0,,,,,1.0,,,,,,,11.0,,,,,,,,,,,,8.0,,,,,,,,,,,
Electronic nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Energy harvesting,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0
Eutectic system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extreme ultraviolet lithography,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexible display,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Flexible electronics,,,,,,,,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0
Flywheel energy storage,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,79.0,,,1.0,,1.0,,58.0,,,,1.0,,,1.0,80.0,,,,1.0,2.0,,,,58.0,,,,,,,1.0,,62.0,1.0,,,1.0,1.0,1.0,,1.0,70.0,2.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,60.0,1.0,,1.0,,,,1.0,1.0,,,65.0,,,1.0,,,,,,,,50.0,1.0,,1.0,,1.0,1.0,2.0,,,,,60.0,,1.0,,,,2.0,1.0,1.0,,1.0,,71.0,,2.0,1.0,1.0,,3.0,,,2.0,2.0,24.0
Fuel cell vehicle,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0
Fullerene,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,6.0,,,,,,1.0,,,,,,7.0,,,1.0,,,,,,,,2.0
Fusion power,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,
Gas generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Gasification,5.0,,,,,,,6.0,,,,,,,,3.0,,,,,,,,,7.0,,,,,,,,,7.0,,,,,,,,,14.0,,,,,,,,,,,,6.0,,,,,,,,,,,7.0,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,7.0,,,,,,,,,,,2.0
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,2.0
Genetically modified crops,3.0,1.0,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,3.0
Genetically modified food,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
Genetically modified organism,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Graphene,1.0,,,,,,,6.0,,,1.0,,,,,8.0,,,1.0,,,,,1.0,11.0,,,,,,,,,20.0,2.0,1.0,,,1.0,2.0,,1.0,27.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,26.0,,,1.0,1.0,,3.0,1.0,,1.0,1.0,40.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,29.0,,,,,,2.0,,,1.0,,1.0,38.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,29.0,1.0,,,1.0,1.0,2.0,,1.0,2.0,,16.0
Grid energy storage,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Holographic data storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holography,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Hydrogen fuel,7.0,,,,,,,4.0,,,,,,,,6.0,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,,,4.0,,,,,1.0,,,,,,,6.0,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,1.0,,,,,,,2.0,,,,,,,,1.0,,,6.0
Hyperloop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
Insects as food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Intelligent transportation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,4.0
Jet injector,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab-on-a-chip,,,,,,,,1.0,,,,,1.0,,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0
Lidar,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,3.0,,1.0,,,,,,,,,
Life-cycle assessment,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,3.0
Lithium ion battery,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,5.0,,,,1.0,,,,,,,7.0,,,,,,,,,,,7.0,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,6.0,,,,,,2.0,,,,2.0,3.0
Lithium-air battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithium-sulfur battery,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0
Machine translation,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,
Maglev,1.0,,,,,,,2.0,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,8.0,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetic nanoparticles,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetorheological fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
