source,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-04-01T00:00:00Z,2010-06-01T00:00:00Z,2010-08-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z,2011-09-01T00:00:00Z,2011-11-01T00:00:00Z,2011-12-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-03-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,6.0,,,6.0,,,,,,,1.0,1.0,5.0,,2.0,,5.0,1.0,,,,10.0,,1.0,10.0,5.0,,4.0,,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,,1.0,,2.0,2.0,,1.0,,,2.0,4.0,2.0,1.0,,,,,2.0,5.0,,,,4.0,,,,1.0,,,,
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,6.0,,,,2.0,,3.0,,16.0,2.0,4.0,,,,1.0,,,2.0,1.0,,,,1.0,5.0,,3.0,,1.0,3.0,1.0,1.0,5.0,,1.0,5.0,1.0,1.0,3.0,3.0,,,3.0,,,2.0,,,,,1.0,18.0,3.0,,,1.0,,,,,,,,,,,1.0,
Bio-manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,
Biobattery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioplastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,1.0,,,,,,9.0,1.0,,,1.0,3.0,,,2.0,,3.0,,,1.0,,,,1.0,,,,1.0,,,,,,2.0,,,
Biosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,4.0,,,4.0,,2.0,,,,,1.0,3.0,,,,,,,,1.0,,,,1.0,,,,,1.0,2.0,1.0,,1.0,3.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,
Brain-computer interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,,,,3.0,,1.0,,,,,,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
Cancer biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capsule endoscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
Carbon dioxide removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon nanotube,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,5.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,
Carbon sequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,1.0,3.0,2.0,2.0,2.0,1.0,,2.0,,,,2.0,,,1.0,2.0,,1.0,1.0,1.0,,,,2.0,1.0,1.0,5.0,6.0,4.0,1.0,11.0,16.0,,13.0,,,4.0,,6.0,6.0,3.0,1.0,,,2.0,4.0,5.0,2.0,,4.0,6.0,3.0,2.0,1.0,2.0,5.0,,,3.0,,1.0,,,1.0,,,1.0,4.0,,5.0,2.0,2.0,1.0
Coal liquefaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer-generated imagery,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryonics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,1.0,,,,,1.0,,,,,3.0,10.0,2.0,3.0,6.0,7.0,19.0,2.0,2.0,3.0,2.0,12.0,12.0,5.0,5.0,2.0,19.0,4.0,5.0,7.0,3.0,2.0,1.0,13.0,46.0,2.0,1.0,1.0,,1.0,,2.0,,1.0,4.0,1.0,1.0,1.0,2.0
Cultured meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,1.0,,
DNA repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,2.0,,,,,,1.0,1.0,1.0,,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3.0,3.0,6.0,7.0,1.0,52.0,1.0,1.0,3.0,1.0,,2.0,16.0,2.0,2.0,,,,1.0,1.0,,2.0,,1.0,,,,,,,1.0,,,1.0
Digital scent technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,3.0,,12.0,,,1.0,,,,,1.0,3.0,5.0,6.0,,15.0,,3.0,10.0,,2.0,2.0,,2.0,4.0,,,,,,1.0,,,,,,,
Drug-eluting stent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,1.0,,,1.0,,,,5.0,,,1.0,,,2.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,2.0,1.0,,6.0,,10.0,4.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,2.0,
Electric vehicle,,,,,,,,,,,,1.0,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,5.0,2.0,3.0,2.0,5.0,7.0,2.0,2.0,,,3.0,1.0,,,,5.0,,2.0,4.0,7.0,8.0,,9.0,3.0,,4.0,3.0,8.0,,2.0,14.0,,5.0,5.0,14.0,5.0,4.0,3.0,5.0,2.0,1.0,4.0,7.0,9.0,13.0,8.0,5.0,3.0,2.0,31.0,1.0,31.0,6.0,11.0,3.0,5.0,2.0,7.0,3.0,12.0,6.0,10.0,15.0,13.0,2.0,6.0,7.0,5.0,2.0,6.0,2.0,3.0,13.0
Electronic cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Electronic nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
Electronic skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Energy harvesting,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,3.0,1.0,,,1.0,,,,1.0,,,,5.0,4.0,1.0,,1.0,4.0,,,,,,6.0,1.0,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,
Exascale computing,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,3.0,,,,,3.0,,,1.0,,,,,,,1.0,,2.0,,1.0,,,,,1.0,,,1.0,2.0,2.0,,,,7.0,1.0,,,2.0,,,,,,,,4.0,,1.0,,,,,,1.0,,,1.0,,3.0,,,,,,
Flexible display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,1.0,
Flexible electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,3.0,,2.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,
Fuel cell,,,,1.0,,2.0,,,,,,,,1.0,2.0,,,,1.0,1.0,,2.0,2.0,,,,,,,,1.0,,,,1.0,,,,1.0,5.0,16.0,2.0,7.0,3.0,10.0,13.0,7.0,8.0,11.0,7.0,3.0,,9.0,7.0,8.0,4.0,1.0,5.0,5.0,6.0,34.0,3.0,6.0,1.0,,1.0,3.0,9.0,2.0,5.0,,4.0,3.0,2.0,57.0,1.0,4.0,2.0,6.0,3.0,2.0,4.0,25.0,16.0,7.0,8.0,14.0,10.0,14.0,15.0,17.0,17.0,13.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,16.0,2.0,11.0,7.0,3.0,2.0,6.0,6.0,8.0,8.0
Fuel cell vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,3.0,,,1.0,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,6.0,,,,,,,,,
Fullerene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
Fusion power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
Gasification,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,3.0,1.0,,1.0,,,,,,,5.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,3.0,,,,1.0,1.0,1.0,,,,,,,5.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,2.0,,3.0,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,2.0,,,,,2.0,,,,,,1.0,,1.0,3.0,1.0,,4.0,,1.0,,3.0,,,,,1.0,,,2.0,1.0,,4.0,1.0,2.0
Generation IV reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetically modified food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,2.0,,2.0,,,,,2.0,,,,,,,3.0,1.0,3.0,3.0,1.0,1.0,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,2.0,5.0,,,2.0,,,,,
Graphene,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,1.0,,,5.0,6.0,1.0,4.0,3.0,6.0,4.0,6.0,,9.0,4.0,10.0,1.0,3.0,4.0,1.0,2.0,,2.0,4.0,2.0,10.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,7.0,1.0,3.0,2.0,2.0,1.0,4.0,8.0,,2.0,3.0,,3.0,12.0,7.0,2.0,2.0,14.0,4.0,3.0,2.0,2.0,1.0,,6.0,,,1.0,5.0,1.0,1.0,,,,,2.0,2.0,4.0,,,,2.0,1.0,2.0
Grid energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,6.0,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,
Haptic technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,2.0,,,2.0,,,,,,,2.0,1.0,,4.0,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0
Hydrogen fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,1.0,1.0,,3.0,,,6.0,1.0,,2.0,,,2.0,2.0,,1.0,1.0,2.0,2.0,4.0,1.0,3.0,,1.0,,2.0,3.0,,1.0,,,1.0,,3.0,,,2.0,2.0,,1.0,,7.0,1.0,4.0,7.0,8.0,2.0,6.0,5.0,21.0,7.0,3.0,2.0,,,2.0,,1.0,,2.0,,,,,,1.0,,2.0,1.0,,1.0
Hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperloop,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,,,,1.0,,,,,11.0,,,,,6.0,,,,,,,,,,,,,,,,,,,
Hypersonic weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0
